NßREGISTRO;PROGRAMA;CODIGODEPROYECTO;DESCRIPTORES;AUTORES;CLASIFICACION;FUENTES;TITULO;TIPODEDOCUMENTOS;A•O;RESUMEN;DOCUMENTO;CONTROLDEACCESO
PLT02209;POLINTER;PLT-A-0109-01-02;PE, rotomoldeo, problemas apariencia, fractura material, pigmento, tambores, granulometr°a;MORALES, ILIANA;;;"GRADOS ROTOMOLDEO ? PROBLEMAS DE 
DESEMPE•O EN CCA";INFORME TECNICO;2009;;informes/POLINTER/2009/IN09188A.pdf;
PLT02210;POLINTER;PLT-P-0209-05-05;POLINTER, SACOS, FUNDAS, COEXTRUSORA,;FUENMAYOR, JESUS;;;POLINTER ? SELECCI‡N COEXTRUSORA PARA SACOS;INFORME TECNICO;2010;APOYAR A POLINTER EN EL PROCESO DE SELECCI‡N DE EQUIPOS DE FABRICACI‡N DE SACOS Y FUNDAS PARA SU PROPIO CONSUMO.;INFORMES/POLINTER/2010/IN10185.PDF;
PLT02211;POLINTER;PLT-A-0211-01-01;SONGWON, SONGNOX 1076, DESEMPE•O,;RINCON, ANA;;;EVALUACI‡N DE DESEMPE•O DEL PEAD FABRICADO CON EL ADITIVO OFRECIDO POR SONGWON;INFORME TECNICO;2011;EVALUAR EL DESEMPE•O DEL POLIETILENO FABRICADO CON EL ADITIVO SONGNOX1076, COMPARANDO LOS RESULTADOS OBTENIDOS PARA êSTE CON LOS DE MUESTRAS DE POLIETILENO FABRICADO CON EL EQUIVALENTE EMPLEADO ACTUALMENTE EN PLANTA.;INFORMES/POLINTER/2011/IN11101.PDF;
PLT02212;POLINTER;PLT-P-0212-03-02;STRETCH, HOOD, PEL÷CULA,  EVA, DESARROLLO,;FUENMAYOR, JESUS;;;DESARROLLO DE EMPAQUE STRETCH-HOOD;INFORME TECNICO;2012;DESARROLLAR UNA FUNDA ESTIRABLE (STRETCH-HOOD) CON UN PORCENTAJE DE MATERIA PRIMA NACIONAL SUPERIOR AL 40%, QUE PERMITA CUMPLIR CON LOS REQUISITOS DE DESEMPE•O EXIGIDOS POR CEMEX Y QUE SEA LA BASE PARA EL DESARROLLO DE EMPAQUES SIMILARES PARA PEQUIVEN Y POSIBLEMENTE PARA POLINTER, A MEDIANO PLAZO.;INFORMES/POLINTER/2012/IN12193.PDF;
PLT02213;POLINTER;PLT-ME-0513-02-07;Aditivos, HALS, formulaci¢n;MARTINEZ, BETSY;SS 13149;;Requisitos de pel°cula para follaje de heno;INFORME TECNICO;2013;Determinar la aditivaci¢n necesaria para que una pel°cula para follaje de heno resista una exposici¢n de 12 meses en el ambiente venezolano;\INFORMES\POLINTER\2013\IN13149.PDF;
PLT02214;POLINTER;PLT-ME-0214-04-11;termoencogible, funda, pel°cula, selector de mezcla, termorretra°ble, termorretracci¢n;Magda Castillo;SS: 14203;;"Optimizaci¢n Funda
Termoencogible";INFORME TECNICO;2014;Reducir el peso y/o mejorar el desempe§o de la funda termoencogible de Polinter, empleando mezclas ternarias.;\informes\Polinter\2014\IN14203.PDF;
PLT02215;POLINTER;PLT-ME-0215-01-01;rotomoldeo, piezas porosas;"Abril Azocar";"SS:15029";;Rotomoldeo de piezas porosas;INFORME TECNICO;2015;Determinar la factibilidad de mejoras de tiempo de ciclo y propiedades mec†nicas mediante el uso de agentes espumantes en PE rotomoldeado.;informes\Polinter\2015/in15029.pdf;
PLT02300;POLINTER;PLT-A-0200-01-04;VENELENE, PROPIEDADES MECANICAS, EVALUACION, HOMOTIPOS, INYECCION, HALS, SOLUBLE,;TORRES, AGUSTIN;;;DETERMINACI‡N DE CAUSA DE BAJAS PROPIEDADES EN TENSI‡N EN LOS GRADOS INYECCI‡N DE LA PLANTA LINEAL DE POLINTER;INFORME TECNICO;2000;"VERIFICAR EL DESEMPE•O MECµNICO DE LOS GRADOS INYECCI‡N DE POLINTER CONTRA HIST‡RICOS REPORTADOS.
DETERMINAR LAS CAUSAS POR LAS QUE ALGUNOS DE LOS GRADOS DE INYECCI‡N DE POLINTER (PARTICULARMENTE EL 2908 Y EL 2807) HAN EXPERIMENTADO PêRDIDAS DE ELONGACI‡N A LA RUPTURA.";INFORMES/POLINTER/2000/IN00087.PDF;POLINTER
PLT02301;POLINTER;PLT-A-0101-02-06;PAILAS, ESFUERZO, CONSTRANTE, APLICADO, RESISTENCIA,;PENICHET, IGNACIO;;;ASISTENCIA TêCNICA SOBRE ESCR A ESFUERZO CONSTANTE EN PAILAS PRODUCIDAS POR UNIPLASTICAS;INFORME TECNICO;2001;CONTRIBUIR CON POLINTER EN LA ATENCI‡N A SUS CLIENTES.;INFORMES/POLINTER/2001/IN01080.PDF;POLINTER
PLT02302;POLINTER;PLT-P-0102-01-03;C8-PELBD, PANIFICADORAS, FD0348, 11U4, MEZCLA, RESISTENCIA, ENSION, DESGARRE, PENETRACION, IMPACTO DART, SELLABILIDAD, PROPIEDADES OPTICAS,;TORRES, AGUSTIN;;;EVALUACI‡N DE PRODUCTOS VENELENE E-022-01 EN GRAFIPLAST;INFORME TECNICO;2002;INCREMENTAR LAS VENTAS DE PRODUCTOS VENELENE A TRAVêS DE LA SUSTITUCI‡N DE PRODUCTOS COMPETIDORES, EN ESTE CASO, EN LA APLICACI‡N DE BOLSAS PARA PANIFICADORAS, CONOCIDAS CON EL NOMBRE GENêRICO DE ?PRODUCTOS DE PANADER÷A?;INFORMES/POLINTER/2002/IN02128.PDF;POLINTER
PLT02303;POLINTER;PLT-P-0203-01-06;PEAD, GRADO INYECCION, DISE•O, EXPERIMENTO, MEZCLAS, VENELENE, 2908UV8A, PROPIEDADES MECANICAS, TENSION, FLEXION, IMPACTO, PROPIEDADES REOLOGICAS,;"CASTILLO, MAGDA; TORRES, AGUSTIN";;;USO DE CARBONATO DE CALCIO Y TITANATOS EN LAS FORMULACIONES CON PEAD;INFORME TECNICO;2003;BUSCAR LA PROPORCI‡N DE CARBONATO DE CALCIO Y AGENTES DE ACOPLAMIENTO TIPO TITANATO QUE PRESENTEN EL MEJOR BALANCE DE PROPIEDADES, INCLUYENDO LA REDUCCI‡N DE COSTOS POR MATERIA PRIMA, EN UNA FORMULACI‡N PARA LA INYECCI‡N DE PEAD.;INFORMES/POLINTER/2003/IN03078b.PDF;
PLT02304;POLINTER;PLT-P-0204-03-02;TAMBORES, ROTOMOLDEO, DELTAVEN, IMPACTO,;MORALES, ILIANA;;;EVALUACI‡N DE DESEMPE•O DE TAMBORES ROTOMOLDEADOS POR CCA PARA PDVSA;INFORME TECNICO;2004;INTRODUCIR EL USO DE TAMBORES PLµSTICOS ROTOMOLDEADOS EN LA INDUSTRIA PETROLERA.;INFORMES/POLINTER/2004/IN04085.PDF;
PLT02305;POLINTER;PLT-A-0105-01-04;PELEX, PEL÷CULA ESTIRABLE, VENELENE 11S1, ADHESIVIDAD, DOW, PIB,;PENICHET, IGNACIO;;;RECLAMO PELEX ? PêRDIDA DE ADHESIVIDAD EN PEL÷CULA ESTIRABLE;INFORME TECNICO;2005;IDENTIFICAR SI EXISTEN DIFERENCIAS EN COMPOSICI‡N Y/O COMPORTAMIENTO ENTRE UNA PEL÷CULA ELABORADA CON VENELENE 11S1 Y UNA ELABORADA CON DOWLEX, QUE EXPLIQUEN LA FALLA DE ADHERENCIA REPORTADA POR EL CLIENTE.;INFORMES/POLINTER/2005/IN05088.PDF;
PLT02306;POLINTER;PLT-A-0106-02-06;PASTA, EMPAQUE, POLIETILENO, COEXTRUSION, LAMINACIONES, ATTANE 4400G,;TORRES, AGUSTIN;;;PEL÷CULA DE PE PARA PASTA - TELEPLASTIC;INFORME TECNICO;2006;DETERMINAR LAS PROPIEDADES DE 3 PEL÷CULAS PARA PASTA, FABRICADAS CON COEXTRUSIONES DE PE, Y COMPARAR CONTRA LA INFORMACI‡N DISPONIBLE PARA ESTA APLICACI‡N.;INFORMES/POLINTER/2006/IN06084.PDF;
PLT02307;POLINTER;PLT-A-0207-01-02;PEBD, VENELENE, MA7007, COCCION, ALIMENTOS, EMPAQUE,;ARIAS, MONICA;;;DETERMINACI‡N DE LA FRACCI‡N MµXIMA EXTRA÷BLE EN N-HEXANO A MUESTRAS DE PEBD PRODUCIDAS POR POLINTER.;INFORME TECNICO;2007;DETERMINAR LA FRACCI‡N MµXIMA EXTRA÷BLE EN N-HEXANO, SEGÈN LA NORMA COVENIN 3328:1997, A DOS (2) MUESTRAS DE PEBD DEL GRADO MA7007, PRODUCIDAS POR POLINTER A FIN DE EVALUAR LA EFECTIVIDAD DE LAS ACCIONES CORRECTIVAS TOMADAS EN LA PLANTA DE BAJA DENSIDAD.;INFORMES/POLINTER/2007/IN07053.PDF;POLINTER
PLT02308;POLINTER;PLT-A-0208-02-02;CAMPA•A, POLINTER, REOMETRO, HINCHAMIENTO, INDESCA;GUTIêRREZ, EDGAR;;;ASESOR÷A CON EQUIPO DE HINCHAMIENTO DEL LABORATORIO DE CONTROL DE CALIDAD DE POLINTER.;INFORME TECNICO;2008;APOYAR A POLINTER EN LA SOLUCI‡N DE PROBLEMAS OBSERVADOS CON EL EQUIPO QUE MIDE HINCHAMIENTO Y VISCOSIDAD A ALTO CORTE.;INFORMES/POLINTER/2008/IN08059.PDF;POLINTER
PLT02309;POLINTER;PLT-A-0109-01-02;PE, rotomoldeo, problemas apariencia, fractura material, pigmento, tambores, granulometr°a;MORALES, ILIANA;;;"GRADOS ROTOMOLDEO ? PROBLEMAS DE 
DESEMPE•O EN CCA";INFORME TECNICO;2009;;informes/POLINTER/2009/IN09188B.pdf;
PLT02310;POLINTER;PLT-P-0210-02;DISE•O, MOLDE, INYECCI‡N, ENVASE, ROLL-ON, REDISE•O,;"LINARES, JESUS; BOHORQUEZ, JOEL";;;MOLDE ENVASE  ROLL-ON;INFORME TECNICO;2010;MODIFICAR EL DISE•O DEL ENVASE ROLL-ON DE LA CORPORACI‡N FRONTINO SEGÈN REQUISITOS DE FUNCIONAMIENTO Y DISE•AR EL RESPECTIVO MOLDE.;INFORMES/POLINTER/2010/IN10113.PDF;
PLT02311;POLINTER;PLT-A-0111-02-08;MIGRACI‡N GLOBAL, FONDONORMA 3239:2004, PLASTICOS OLIVEROS,;MARTINEZ, BETSY;;;PLµSTICOS OLIVEROS ?MIGRACI‡N GLOBAL;INFORME TECNICO;2011;DETERMINAR LA MIGRACI‡N GLOBAL SEGÈN LA NORMA FONDONORMA 3239:2004 A DOS MUESTRAS DE PEL÷CULAS TRANSPARENTES, LAS CUALES SON USADAS COMO EMPAQUE PARA DIVERSOS ALIMENTOS, CON EL FIN DE SOPORTAR LA OBTENCI‡N DEL PERMISO SANITARIO CORRESPONDIENTE.;INFORMES/POLINTER/2011/IN11097.PDF;
PLT02312;POLINTER;PLT-A-0112-02-12;11PG4, TALCO, ANTIBLOCK, FRICCION,;FUENMAYOR, JESUS;;;POLINTER ? EVALUACI‡N DE 11PG4 CON ALTO CONTENIDO DE TALCO;INFORME TECNICO;2012;APOYAR A POLINTER EN LA DETERMINACI‡N DEL COEFICIENTE DE FRICCI‡N DE DOS MUESTRAS DE PEL÷CULAS FABRICADAS CON DOS LOTES DE 11PG4, UNO DE ELLOS CON ALTO CONTENIDO DE TALCO, Y ESTABLECER SI ESTO ÈLTIMO AFECTARµ SU DESEMPE•O EN EL PROCESO DE EMPACADO AUTOMµTICO.;INFORMES/POLINTER/2012/IN12257.PDF;
PLT02313;POLINTER;PLT-PL-0413-02-06;Residuos, catalizador, 1-Buteno;ANDARCIA, FREDDY;SS 13177;;An†lisis de residuo de catalizador procedente de la planta de 1-buteno, muestra isotanque;INFORME TECNICO;2013;Determinar la aditivaci¢n necesaria para que una pel°cula para follaje de heno resista una exposici¢n de 12 meses en el ambiente venezolano;\INFORMES\POLINTER\2013\IN13177.PDF;
PLT02314;POLINTER;PLT-ME-0514-02-06;FTIR, espesores, desgarre y penetraci¢n, tensi¢n, estructura multicapa, remolido, reiclado, empaque, alimento animales, matriz polimÇrica.;Patricia Gomez;SS: 14244;;Determinaci¢n de matriz polimÇrica de empaque para alimento de animales;INFORME TECNICO;2014;Determinar la matriz polimÇrica de empaque para alimento de animales.;\informes\Polinter\2014\IN14244.PDF;
PLT02315;POLINTER;PLT-ME-0315-02-06;"Densidad Relativa, 
Desplazamiento, PELBD, Norma 
ASTMD792-08";"Mariajose Pineda";"SS:15223";;"Actualizaci¢n hojas tÇcnicas de 
Polinter";INFORME TECNICO;2015;Actualizar las hojas tÇcnicas 2014 de Polinter (planta PELBD) para incluir la medici¢n de densidad efectuada bajo la norma que se emplea en dicha planta y para incluir las normas venezolanas en todas las hojas tÇcnicas.;informes\Polinter\2015/In15223.pdf;
PLT02400;POLINTER;PLT-E-0200-02-02;PREPARACION, PATRONES, PEAD, PLACAS, CURVAS, ESPECTROS,;PENICHET, IGNACIO;;;METODOS DESARROLLADOS EN INDESCA PARA DETERMINAR ADITIVOS;INFORME TECNICO;2000;ADIESTRAR AL PERSONAL DEL LABORATORIO DE POLINTER EN LOS MêTODOS DESARROLLADOS POR INDESCA PARA LA CUANTIFICACI‡N DE ADITIVOS EN LOS GRADOS 6200B Y 7000F POR ESPETROSCOPIA INFRARROJA.;INFORMES/POLINTER/2000/IN00088.PDF;POLINTER
PLT02401;POLINTER;PLT-P-0101-01-04;PROPIEDADES MECANICAS, TENSION, DEFORMACION, DESVIACION,;MORALES, ILIANA;;;DESARROLLO DE PRODUCTOSPEAD 7250B GRADO TUBER÷A - CLASIFICACI‡N PE100;INFORME TECNICO;2001;EVALUAR LAS PROPIEDADES EN TENSI‡N DE RESINAS 7250B, GRADO EXPERIMENTAL, PARA APOYAR A POLINTER EN EL ANµLISIS DE VARIABILIDAD OBSERVADO POR EL CLIENTE REVINCA. SE PRETENDE DISCERNIR SI DICHA VARIABILIDAD ES ATRIBUIBLE AL EQUIPO, AL MêTODO DE ENSAYO O A LA RESINA.;INFORMES/POLINTER/2001/IN01082.PDF;POLINTER
PLT02402;POLINTER;PLT-P-0102-05-01;PELICULA, PEBD, PELBD, CURVAS REOLOGICAS, PROPIEDADES MECANICAS, PROCESAMIENTO, TECNOLOGIA SCLAIR, TAPAS, BOTELLAS, SONFIL,;MANAURE, ARELI;;;SUSTITUCI‡N DE PRODUCTOS INYECCI‡N VENELENE MD2002 POR VENELENE PELBD;INFORME TECNICO;2002;IDENTIFICAR SUSTITUTO(S) DEL GRADO VENELENE MD2002 EN LA TECNOLOG÷A SCLAIR, A FIN DE LIBERAR CAPACIDAD DE PRODUCCI‡N DE LA PLANTA DE BAJA DENSIDAD E INCREMENTAR LAS VENTAS DE PRODUCTOS DE LA PLANTA DE POLIETILENOS LINEALES.;INFORMES/POLINTER/2002/IN02129.PDF;POLINTER
PLT02403;POLINTER;PLT-A-0103-01-03;VENELENE, 2707, SOLUBILIDAD, o-DICLORO, BENCENO, ANALISIS TERMICO, PROPIEDADES TERMICAS, FTIR, CENIZADO,;PENICHET, IGNACIO;;;MANCHAS OSCURAS EN PAILAS DE FLAPLAST;INFORME TECNICO;2003;IDENTIFICAR EL ORIGEN DE LAS MANCHAS PRESENTES EN PAILAS INYECTADAS CON VENELENE 2707 AP EN FLAPLAST.;INFORMES/POLINTER/2003/IN03084.PDF;
PLT02404;POLINTER;PLT-A-0204-01-07;ERUCAMIDA, AGENTE DESLIZANTE, PEBD, PUREZA,;PENICHET, IGNACIO;;;PUREZA DE ERUCAMIDA;NORMA;2004;DETERMINAR LA PUREZA EN UNA MUESTRA DE ERUCAMIDA CON LA FINALIDAD DE APORTAR INFORMACI‡N PARA ANµLISIS DEL PROBLEMA DE PêRDIDAS DE MATERIA PRIMA EN EL PROCESO DE PRODUCCI‡N.;INFORMES/POLINTER/2004/IN04087.PDF;
PLT02405;POLINTER;PLT-A-0205-01-06;FB3003, EXTRUSI‡N, PEL÷CULA, PROPIEDADES,;BARRIOS, NEOSIRIS;;;EVALUACI‡N DE LOTE SUBESTµNDAR DEL GRADO  VENELENE FB-3003;INFORME TECNICO;2005;EVALUAR UN LOTE DE VENELENE FB-3003 CLASIFICADO SUBESTµNDAR B50 POR PRESENCIA DE PELLETS GRISES, CON LA FINALIDAD DE DETERMINAR SI ES APTO PARA SER UTILIZADO EN LA MAQUILA DE FUNDAS TRANSPARENTES.;INFORMES/POLINTER/2005/IN05091.PDF;
PLT02406;POLINTER;PLT- A-0106-02-07;CABEZAS PLµSTICAS, PROYECTILES, NYLON,;CASTILLO, MAGDA;;;CABEZA PLµSTICAS PARA PROYECTILES DE PRµCTICA;INFORME TECNICO;2006;IDENTIFICAR LA RESINA BASE Y LA EVENTUAL PRESENCIA DE CARGAS INORGµNICAS DE LA MUESTRA DE CABEZA PLµSTICA PARA PROYECTILES DE PRµCTICA.;INFORMES/POLINTER/2006/IN06085A.PDF;
PLT02407;POLINTER;PLT-E-0207-03-02;FTIR, PEBD, OBTENCION DE PARAMETROS, VENELENE, FB7000;;;;"DESARROLLO DEL MêTODO DE ENSAYO PARA LA 
CUANTIFICACI‡N DE LA ERUCAMIDA EN PEBD V÷A
FTIR SOBRE PLACAS";INFORME TECNICO;2007;"SUSTITUIR EL MêTODO  EMPLEADO  PARA  LA  DETERMINACI‡N  DE  ERUCAMIDA  EN MUESTRAS DE PEBD V÷A  FTIR  PREVIA  EXTRACCI‡N  CON  CLOROFORMO,  PARA  REDUCIR  LOS RIESGOS A LA SALUD OCASIONADOS POR LOS VAPORES DEL SOLVENTE, EL TIEMPO DE
RESPUESTA DEL ENSAYO Y SUS COSTOS, AUMENTANDO LA EXACTITUD.";INFORMES/POLINTER/2007/IN07057.PDF;POLINTER
PLT02408;POLINTER;PLT-A-0108-02-05;OIT, ENVEJECIMIENTO, UV, AMBIENTE, REVINCA;GUTIêRREZ, EDGAR;;;REVINCA ? ENVEJECIMIENTO Y OIT DE TUBOS;INFORME TECNICO;2008;MEDIR EL OIT A MUESTRAS DE TUBOS ENVEJECIDAS EN CµMARA UV, CON DISTINTA CANTIDAD DE ESTABILIZANTE A LA LUZ.;INFORMES/POLINTER/2008/IN08069.PDF;POLINTER
PLT02409;POLINTER;PLT-A-0109-02-11;6200B;PINEDA, MARIA;;;PROPIEDADES DE 6200B;INFORME TECNICO;2009;;informes/POLINTER/2009/IN09198.pdf;
PLT02410;POLINTER;PLT-P-0210-02-01;COTIZACI‡N, CASCO, MOLDE, PEAD, FABRICANTE, ACEROS,;SANCHEZ, JORGE;;;INFORME SELECCI‡N FABRICANTE DE MOLDES CASCOS DE SEGURIDAD;INFORME TECNICO;2010;"?DISE•AR UN CASCO DE SEGURIDAD, JUNTO CON EL SOPORTE PARA LA CABEZA Y LOS INSERTOS PARA LOS CUBRE OREJAS (COMPLETADO EN 2009). 
?CONTACTAR EMPRESAS FABRICANTES DE MOLDES PARA QUE COTICEN LA FABRICACI‡N DE LOS TRES MOLDES DEL CASCO INDUSTRIAL.
?EMITIR EL INFORME FINAL CON EL ANµLISIS COMPARATIVO Y LAS RECOMENDACIONES.";INFORMES/POLINTER/2010/IN10216.PDF;
PLT02411;POLINTER;PLT-A-0211-02-01;CHEQUEO CRUZADO, PROTOCOLO, MêTODOS DE ENSAYO,;SUAREZ, LUISANA;;;CHEQUEO CRUZADO DE PROPIEDADES DE PELBD;INFORME TECNICO;2011;EVALUAR LA CONCORDANCIA ENTRE LABORATORIOS EN LA CARACTERIZACI‡N DE POLIETILENO LINEAL DE BAJA DENSIDAD (PELBD) DE LOS SIGUIENTES MêTODOS DE ENSAYO SELECCIONADOS PRELIMINARMENTE: DENSIDAD ABSOLUTA, ÷NDICE DE FLUIDEZ, ESCR, RESISTENCIA TENSIL, RESISTENCIA AL IMPACTO, TEMPERATURA DE FUSI‡N (DSC) Y DISTRIBUCI‡N DE PESOS MOLECULARES (GPC) ENTRE LOS LABORATORIOS DE POLINTER, NOVA E INDESCA.;INFORMES/POLINTER/2011/IN11107.PDF;
PLT02412;POLINTER;PLT-A-0112-02-03;PE, LA0903, PEL÷CULA, PROPIEDADES, IMPACTO, TENSION,;SANCHEZ, JORGE;;;VERIFICACI‡N PROPIEDADES DE RESINA LA-0903 DE CIAMCA;INFORME TECNICO;2012;DETERMINAR LA ESTABILIDAD DE PROPIEDADES DE DOS LOTES DE RESINA PEBD VENELENE© LA-0903 QUE SE ENCUENTRAN EN LA PLANTA DE PA•ALES DE CIAMCA Y COMPARAR CONTRA UN LOTE DE LA 0903 DE REFERENCIA EN INDESCA.;INFORMES/POLINTER/2012/IN12081.PDF;
PLT02413;POLINTER;PLT-ME-0413-01-06;Proceso, calidad, control, gu°a, normas, insumos, inversi¢n, ensayos, equipos.;SANCHEZ, JORGE;SS 13184;;Implantaci¢n Gu°a de Calidad-Seguimiento;INFORME TECNICO;2013;Establecer el impacto del uso de la gu°a de calidad del producto en los clientes piloto que la emplearon en 2012;\INFORMES\POLINTER\2013\IN13184.PDF;
PLT02414;POLINTER;PLT-PL-0414-01-03;PLT, Aditivos, alta, Polinter;Maria Sanchez;SS: 14169;;"EVALUACI‡N DE NUEVO
PRODUCTO OFRECIDO POR EL
PROVEEDOR DE ADITIVOS
ADDIVANT";INFORME TECNICO;2014;Determinar si el producto Anox BB120 ofrecido por el proveedor Addivant puede representar una alternativa tÇcnicamente v†lida al material AG utilizado actualmente por POLINTER en la planta de Alta Densidad;\informes\Polinter\2014\IN14169.PDF;
PLT02415;POLINTER;PLT-ME-0515-02-07;"Problemas de apariencia/ geles/ 
infundibles";"Luis Martinez";"SS:15204";;"Laminados Pl†sticos Lara ? 
Problemas de apariencia en 
pel°culas";INFORME TECNICO;2015;"Determinar las causas que provocan la aparici¢n de geles o infusibles en pel°culas del
cliente Laminados Pl†sticos Lara y emitir recomendaciones para el uso del material
reclamado.";informes\Polinter\2015/In15204.pdf;
PLT02500;POLINTER;PLT-P-0300-02-01;FORTALEZAS, DEBILIDADES, COMPETIDORES, MAPAS, PRODUCTOS, VARIABILIDAD, VENELENE, 6200B, 3200B, 5200B, SOPLADO,;CAPRIULO, FRANCESCO;;;MONITOREO DE PROPIEDADES GRADOS VENELENE;INFORME TECNICO;2000;"DETERMINAR LA VARIABILIDAD EN EL TIEMPO EN EL DESEMPE•O DE LOS GRADOS VENELENE 3200B, 5200B Y 6200B, MEDIANTE LA COMPARACI‡N CON DATOS HIST‡RICOS DISPONIBLES PARA CADA GRADO EN PARTICULAR.
COMPARAR LAS PROPIEDADES DE DESEMPE•O DE LOS GRADOS VENELENE CON EL GRADO BPHD5403";INFORMES/POLINTER/2000/IN00094.PDF;POLINTER
PLT02501;POLINTER;PLT-P-0101-02-07;PEAD, VENELENE, 2908, PROPIEDADES TERMICAS, CURVA DE CALNTAMIENTO, DSC,;MANAURE, ARELI;;;IDENTIFICACION DE MATRIZ POLIMERICA EN MUESTRAS DE TAPAS INYECTADAS SUMINISTRADAS POR INNOVACIONES JAPONESAS.;INFORME TECNICO;2001;IDENTIFICAR LA MATRIZ POLIMêRICA DE MUESTRAS DE TAPAS INYECTADAS, SUMINISTRADAS POR INNOVACIONES JAPONESAS.;INFORMES/POLINTER/2001/IN01083.PDF;POLINTER
PLT02502;POLINTER;PLT-P-0202-02-01;PELICULA, PE, PP, PELBD, PEBD, PROPIEDADES MECANICAS, PROCTER & GAMBLE, KIMBERLY, BIOPAPEL, CORPA•AL,;COLLS, NELSON;;;DESARROLLO DE ESTRUCTURA DE PARA LA APLICACI‡N DE LA LµMINA DE SOPORTE (PROPIEDADES Y COMPOSICI‡N DE PA•ALES NACIONALES);INFORME TECNICO;2002;"DESARROLLAR UNA ESTRUCTURA PARA LA APLICACI‡N DE PEL÷CULA SOPORTE PARA PA•ALES E HIGIENE PERSONAL, QUE COMPITA CONTRA LOS PRODUCTOS FORµNEOS ACTUALMENTE DISPONIBLES EN EL MERCADO; A TRAVêS DE LA EVALUACI‡N DE LAS PROPIEDADES MECµNICAS E IDENTIFICACI‡N DE LA COMPOSICI‡N DE PA•ALES NACIONALES.";INFORMES/POLINTER/2002/IN02132.PDF;POLINTER
PLT02503;POLINTER;PLT-P-0403-01-02;EXTRUSION, PELICULA, RETENCION, ESFUERZO, TERMOENCOGIBLE, CONDICIONES, PROCESAMIENTO, MEZCLA, PEBD, PELBD, PROPIEDADES, RESISTENCIA, TENSION, MD, TD, PENETRACION, DESGARRE, BRILLO, TRANSPARENCIA,;"TORRES, AGUSTIN; COLLS, NELSON";;;DESARROLLO DE MEZCLAS PARA EMPAQUE TERMOENCOGIBLE;INFORME TECNICO;2003;;INFORMES/POLINTER/2003/IN03085.PDF;
PLT02504;POLINTER;PLT-A-0204-02-03;KEMANIDA, DESLIZANTES, FTIR,;AVENDA•O, CARLOS;;;DETERMINACI‡N DE AGENTE DESLIZANTE A UN LOTE DE PEBD GRADO FD 0348;INFORME TECNICO;2004;VERIFICAR VALIDEZ DE ENSAYOS DE AMIDA EN PEBD EFECTUADOS POR CONTROL DE CALIDAD POLINTER.;INFORMES/POLINTER/2004/IN04093.PDF;
PLT02505;POLINTER;PLT-A-0205-01-07;CACO3, FA-0240, FB-0348, ESTRUSI‡N, PEL÷CULA, PROPIEDADES ‡PTICAS,;BARRIOS, NEOSIRIS;;;EVALUACI‡N DE NUEVO CARBONATO DE CALCIO PARA EL GRADO VENELENE FA-0240;INFORME TECNICO;2005;DETERMINAR EL DESEMPE•O DE UN NUEVO CARBONATO DE CALCIO (AMPVECA) INCORPORADO EN EL LOTE 205672 DE VENELENE FA-0240, EL CUAL SERµ COMPARADO CON EL LOTE ESTµNDAR 205671 QUE  UTILIZA TALCO DERPLAST.;INFORMES/POLINTER/2005/IN05096A.PDF;
PLT02506;POLINTER;PLT- A-0106-02-07;CABEZAS PLµSTICAS, PROYECTILES, NYLON,;"BIHORQUEZ, JOEL; CASTILLO, MAGDA";;;CABEZA PLµSTICAS PARA PROYECTILES DE PRµCTICA;INFORME TECNICO;2006;"1.-IDENTIFICAR LA RESINA BASE Y LA EVENTUAL PRESENCIA DE CARGAS INORGµNICAS DE LA MUESTRA DE CABEZA PLµSTICA PARA PROYECTILES DE PRµCTICA.
2.-REALIZAR LOS CµLCULOS NECESARIOS PARA DETERMINAR SI ES POSIBLE FABRICARLO CON UN PEAD.";INFORMES/POLINTER/2006/IN06085B.PDF;
