NßREGISTRO;PROGRAMA;CODIGODEPROYECTO;DESCRIPTORES;AUTORES;CLASIFICACION;FUENTES;TITULO;TIPODEDOCUMENTOS;A•O;RESUMEN;DOCUMENTO;CONTROLDEACCESO
PPV00201;PROPILVEN;PPV-S-0101-01-02;PROPIEDADES, MECANICAS, TERMICAS, TERMOMECANICAS, RESISTENCIA, TENSION, FLEXION, IMPACTO IZOD, TERMPERATURA, DEFLEXION, REOLOGICAS,;MANAURE, ARELI;;;DETERMINACI‡N DE: RESISTENCIA A LA TENSI‡N, A LA FLEXI‡N, IMPACTO IZOD, CURVA REOL‡GICA, HDT, CONTRACCI‡N, PUNTO DE FUSI‡N Y TEMPERATURA DE CRISTALIZACI‡N DE UNA MUESTRA DE PP GRADO J302;INFORME TECNICO;2001;DETERMINAR LA RESISTENCIA A LA TENSI‡N, A LA FLEXI‡N, IMPACTO IZOD, CURVA REOL‡GICA, HDT, CONTRACCI‡N, PUNTO DE FUSI‡N Y TEMPERATURA DE CRISTALIZACI‡N A UNA MUESTRA DE POLIPROPILENO, J302.;INFORMES/PROPILVEN/2001/IN01043.PDF;PROPILVEN
PPV00202;PROPILVEN;PPV-S-0102-01-02;PP, INDICE DE FLUIDEZ, F502,;GUTIERREZ, EDGAR;;;DETERMINACI‡N DEL ÷NDICE DE FLUIDEZ EN MUESTRAS DE PP, SUMINISTRADASPOR PROPILVEN;INFORME TECNICO;2002;DETERMINAR EL ÷NDICE DE FLUIDEZ @ 2.16 KG Y 230¯C (CONDICI‡N L, ASTM D 1238) DE DOS MUESTRAS DE PP IDENTIFICADAS COMO GRADO PP F-502 LOTES 200112462 Y 200112478, SUMINISTRADA POR PROPILVEN.;INFORMES/PROPILVEN/2002/IN02012.PDF;PROPILVEN
PPV00203;PROPILVEN;PPV-S-0103-01-07;DIFERENCIAS, CONTRACCION, LOTES, GRADO, J901,;"PENICHET, IGNACIO; GUASTAFERRO, FRANCO";;;DETERMINACI‡N DE DIFERENCIAS EN LA CONTRACCI‡N DE VARIOS LOTES DEL GRADO J901.;INFORME TECNICO;2003;DETERMINAR SI EXISTEN DIFERENCIAS EN LA CONTRACCI‡N DE VARIOS LOTES DEL GRADO J901.;INFORMES/PROPILVEN/2003/IN03146.PDF;
PPV00204;PROPILVEN;PPV-S-0104-01-03;BOPP/CAST, BOPP/BLOW, FRICCION, SELLABILIDAD, PASTAS,;NORIEGA, WILLIAN;;;DETERMINACI‡N DE PROPIEDADES EN PEL÷CULAS DE BOPP ELABORADAS POR EL CLIENTE.;INFORME TECNICO;2004;DETERMINAR COEFICIENTE DE FRICCI‡N Y PROPIEDADES DE SELLO, A DOS PEL÷CULAS PARA EL DESARROLLO DE EMPAQUES PARA PASTAS. SUMINISTRADAS POR PROPILVEN.;INFORMES/PROPILVEN/2004/IN04077.PDF;
PPV00205;PROPILVEN;PPV-A-0105-01-02;GELES, PEL÷CULAS, PROPILVEN, NATURALEZA, BURBUPLAST,;GUTIERREZ, EDGAR;;;GELES EN PEL÷CULAS MONOCAPA PRODUCIDAS POR LA EMPRESA BURBUPLAST;INFORME TECNICO;2005;CUANTIFICAR LOS GELES PRESENTES EN TRES PEL÷CULAS SUMINISTRADAS POR PROPILVEN E IDENTIFICAR LA NATURALEZA DE LOS MISMOS.;INFORMES/PROPILVEN/2005/IN05068.PDF;
PPV00206;PROPILVEN;PPV-P-0406-01-02;TK 504, PP, ÷NDICE DE FLUIDEZ, IF,;SOTO, WOLFGANG;;;DETERMINACI‡N DEL ÷NDICE DE FLUIDEZ;INFORME TECNICO;2006;DETERMINAR EL ÷NDICE DE FLUIDEZ A DOS (2) MUESTRAS DE POLIPROPILENO SUMINISTRADAS POR PROPILVEN E IDENTIFICADAS COMO TK 504 HORA 08:00 Y 10:00, RESPECTIVAMENTE.;INFORMES/PROPILVEN/2006/IN06081.PDF;
PPV00207;PROPILVEN;PPV-A-0107-01-04;Antiest†ticos, Propilven;MARTINEZ, RAFAEL;;;EVALUACI‡N DE SISTEMAS ALTERNOS DE ADITIVOS PARA PROPILVEN: AGENTES ANTIESTµTICOS;INFORME TECNICO;2007;;informes/PROPILVEN/2007/IN07065B.pdf;
PPV00208;PROPILVEN;PPV-A-0508-03-03;TêRMICOS, PANELES,;MARTINEZ, RAFAEL;;;DESARROLLO DE FORMULACI‡N PARA PANELES TêRMICOS;INFORME TECNICO;2008;SUMINISTRAR EL APOYO TêCNICO NECESARIO EN LA COMPRA DE EQUIPOS Y EN LA FORMULACI‡N DE UN PP PARA LA FABRICACI‡N DE PANELES TêRMICOS PARA CASAS QUE RESISTAN POR LO MENOS 10 A•OS A LA INTEMPERIE.;INFORMES/PROPILVEN/2008/IN08015.PDF;PROPILVEN
PPV00209;PROPILVEN;PPV-A-0509-03-02;PANELES, TERMICOS;SANCHEZ, JORGE;;;PROYECTO PANELES TêRMICOS;INFORME TECNICO;2009;;informes/PROPILVEN/2009/IN09044.pdf;
PPV002094;PROPILVEN;PPV-S-01;PROPIEDADES DE FLEXION, PRECISIO, EXACTITUD, METOD;ARNAL, DENIS;;;AUDITORIA DEL METODO DE DETERMINACION DE PROPIEDADES DE FLEXION;;1994;"EL OBJETIVO DEL INFORME ES PRESENTAR LOS RESULTADOS DE LA AUDITORIA DE PRECISION Y EXACTITUD DEL METODO DE ""DETERMINACION DE PROPIEDADES DE FLEXION (MPPV-POL-20)"" EN EL LABORATORIO DE CONTROL DE CALIDAD DE PROPILVEN.";documentone.htm;PROPILVEN
PPV00210;PROPILVEN;PPV-A-0410-02-01;PP, PELICULAS, FRICCI‡N, TRATAMIENTO SUPERFICIAL, BOPP,;NORIEGA, WILLIAN;;;SIPLAS ?COEFICIENTE DE FRICCI‡N Y TRATAMIENTO SUPERFICIAL.;INFORME TECNICO;2010;MEDIR EL COEFICIENTE DE FRICCI‡N POR AMBAS CARAS Y LA TENSI‡N SUPERFICIAL A CUATRO MUESTRAS SUMINISTRADAS POR LA EMPRESA SIPLAS.;INFORMES/PROPILVEN/2010/IN10228.PDF;
PPV00211;PROPILVEN;PPV-A-0411-02-02;CONTRACCION, PROBETAS, PPV, PP,;SOTO, WOLFGANG;;;CONTRACCI‡N DE PP J905;INFORME TECNICO;2011;DETERMINACI‡N DE LA CONTRACCI‡N TRANSVERSAL, LONGITUDINAL Y RADIAL DE TRES LOTES DE PP J-905.;INFORMES/PROPILVEN/2011/IN11148.PDF;
PPV00212;PROPILVEN;PPV-A-0112-01-02;"1.	OBJETIVOS  LµCTEOS LOS ANDES, YOGOURT, PSAI, TERMOFORMADO, CORPIVENSA, PP, INYECCI‡N, MIGRACI‡N GLOBAL, PERMISO SANITARIO,";PENICHET, IGNACIO;;;CORPIVENSA - ENVASES DE YOGURT;INFORME TECNICO;2012;DETERMINAR LA MIGRACI‡N GLOBAL EN LOS ENVASES DE CORPIVENSA DESTINADO A ENVASAR YOGURT, SEGÈN LA NORMA FONDONORMA 3239:2004.;INFORMES/PROPILVEN/2012/IN12224.PDF;
PPV00213;PROPILVEN;PPV-PL-0213-01-04;PP, aditivos, extracci¢n ASE, Dise§o de experimentos;MARTINEZ, BETSY;SS 13189;;TÇcnica HPLC de PPV ? Dise§o de experimentos (Fase I);INFORME TECNICO;2013;Presentar un dise§o de experimentos (DOE) para el desarrollo de un mÇtodo para la extracci¢n de aditivos del PP empleando el extractor ASE de Propilven. Esta etapa de extracci¢n es un paso previo a la tÇcnica de Cromatograf°a L°quida de Alta Resoluci¢n (HPLC).;\informes\PROPILVEN\2013\IN13189.PDF;
PPV00214;PROPILVEN;PPV-ME-0214-02-02;†cido er£cico, erucamida, deslizante, valor †cido;Betsy Martinez;SS: 14268;;Determinaci¢n del contenido de †cido er£cico en Erucamida;INFORME TECNICO;2014;Determinar el contenido de †cido er£cico en dos muestras de erucamida.;\informes\Propilven\2014\IN14268.PDF;
PPV00215;PROPILVEN;PPV-FP-0115-03-01;"PP, homotipo, F605, F651, F600, 
COF, HOTTACK";"Patricia Gomez";"SS:15228";;"COF y Hot-tack en pel°culas de 
PP";INFORME TECNICO;2015;Determinar del coeficiente de fricci¢n (COF) a tres (3) muestras de PP y la temperatura de sellado (hot-tack) a un PP importado.;informes\Propilven\2015/In15228.pdf;
PPV002194;PROPILVEN;PPV-S-01;CALIDAD, ORGANIZACION, CONTROL DE MUESTRAS, CONFIA;ARNAL, DENIS;;;SEGUNDA AUDITORIA DE LOS LABORATORIOS SEGUN NORMA COVENIN 2171-91. REPORTE DE RESULTADOS;;1994;"EN EL SIGUIENTE INFORME SE INDICAN LOS RESULTADOS DE LA SEGUNDA AUDITORIA DEL LABORATORIO DE CONTROL DE CALIDAD DE PROPILVEN, LA CUAL SE REALIZO DE ESTA NORMA 2171-91 ""MANUAL PARA EVALUACION DE LABORATORIOS"". EL OBJETIVO DE ESTA AUDITORIA ES EVALUAR EL AV";documentone.htm;PROPILVEN
PPV002294;PROPILVEN;PPV-S-01;INYECCION, CONDICIONES, MOLDE, BURBUJAS,;BERMUDEZ, ANTONIO;;;APOYO TECNICO AL LABORATORIO DE CONTROL DE CALIDAD DE PROPILVEN;;1994;SE INYECTARON PROBETAS CON CONDICIONES RECOMENDADAS POR MITSUI LAS CUALES PRESENTARON BURBUJAS. SE MODIFICARON LAS CONDICIONES CON EL FIN DE ELIMINAR LAS BURBUJAS. EN ESTE INFORME SE DESCRIBEN LAS ACTIVIDADES LLEVADAS A CABO Y LAS RECOMENDACIONES PERTINEN;documentone.htm;PROPILVEN
PPV002394;PROPILVEN;PPV-S-01;PRECISION, PROPIEDADES TENSILES, CONFORMIDAD DEL M;ARNAL, DENIS;;;AUDITORIA DEL METODO DE DETERMINACION DE PROPIEDADES TENSILES EN POLIPROPILENO;;1994;EN ESTE INFORME SE PRESENTAN LOS RESULTADOS DE LA AUDITORIA DEL METODO DE DETERMINACION DE LAS PROPIEDADES TENSILES EN EL LABORATORIO DE CONTROL DE CALIDAD DE PROPILVEN.;documentone.htm;PROPILVEN
PPV002494;PROPILVEN;PPV-S-01;CROMATOGRAFIA GASEOSA,;ZABALA, MARCOS;;;DESARROLLO DE METODO PARA LA SEPARACION DE METILACETILENO DE LOS BUTENOS CONTENIDOS EN PROPILENO;;1994;SE DESARROLLO UN METODO VIA CROMATOGRAFIA GASEOSA PARA LA SEPARACION DE LOS PICOS DE METILACETILENO Y BUTENOS CONTENIDOS COMO IMPUREZA DEL PROPILENO.;documentone.htm;PROPILVEN
